,created_at,screen_name,text
51,9/8/2019 7:57,janmesinuraya,"PB Djarum sudah mengalah, tapi KPAI menolak. KPAI sepertinya lebih menghargai anak-anak yang teriak-teriak bunuh dalam karnaval ketimbang dididik berprestasi.

KPAI digaji negara. Pakai duit pajak kita. Malah menggancurkan dunia bulutangkis kita. Bangke!

https://t.co/JXVTZKeA6c"
52,9/8/2019 7:57,janmesinuraya,50 Tahun eksploitasi anak versi @lenteraanak_ @KPAI_official https://t.co/IFKkVHQDol
53,9/8/2019 7:57,janmesinuraya,"""Kami tegaskan bahwa jangan seolah-olah KPAI yang melarang. Tapi harus dipahami bahwa aturanlah yang melarang,"" kata Ketua KPAI Susanto. https://t.co/Sa0nSucQ1u"
54,9/8/2019 7:57,janmesinuraya,"PB Djarum secara resmi pamit (sementara) untuk tidak lagi menggelar audisi umum beasiswa bulutangkis.""Audisi kali ini juga saya sampaikan sebagai ajang … https://t.co/aaI3KGWBiE"
55,9/8/2019 7:57,janmesinuraya,KPAI = Komisi Penghancur Angan dan Impian! https://t.co/NlHNVhVjUT
56,9/8/2019 7:57,janmesinuraya,"Budi Hartono, pemilik Djarum, mulai membina Liem Swie King di usia 13 tahun.
King tak hanya legenda PB DJARUM tapi juga legenda besar bagi BANGSA INDONESIA
Polemik KPAI dgn PB Djarum, patut disayangkan krn akhirnya kita harus kehilangan ""King Muda"" lainnya di masa yg akan datang. https://t.co/636mShg9WS"
57,9/8/2019 7:57,janmesinuraya,mari kita apresiasi kerja keras KPAI dan Yayasan Lentera Anak. lembaga lembaga ini sudah bekerja siang malam demi masa depan dan kesejahteraan anak anak Indonesia. mantaaappppp!!11!11! #Terbaru #Balbalan https://t.co/DK8Z2LhD6O
58,9/8/2019 7:57,janmesinuraya,"@lenteraanak_ Apa pernah @KPAI_official dan yayasan ini mengadakan diskusi atau paling tidak ngebacotin kegiatan ""brand image"" yang mengeksploitasi anak seperti foto2 kegiatan di bawah ini? https://t.co/VTGAJTR03n"
59,9/8/2019 7:57,janmesinuraya,"Selamat, hari ini kemenangan kalian @KPAI_official dan @lenteraanak_ <U+0001F44D>. Dan kekalahan begitu banyak bakat bulu tangkis masa depan. Ada banyak anak di luar sana yg perlu kalian lindungi dari eksploitasi. Kalian memilih jalan ini. Sungguh bangga negeri ini <U+0001F64F> https://t.co/POZM5Ab0MI"
60,9/8/2019 7:57,janmesinuraya,"Apapun alasanya tp yg telah dilakukan @PBDjarum sudah memberikan kontribusi nyata bagi prestasi olahraga bulu tangkis kita.
Semoga stlah ini @KPAI_official bisa menjadi sponsor tetap dlm mencetak atlet bulu tangkis di Indonesia. Bagi pecinta Bulutangkis tolong <U+0001F449> RETUIT <U+0001F447> https://t.co/EKrRj2iHAR"
61,9/8/2019 7:57,zainal_arifinXO,"Selamat ya, KPAI... atas prestasinya menghancurkan mimpi anak2 berprestasi calon juara dunia.

Mungkin KPAI yang mau ambil tanggung jawab utk pendanaan pelatihan mereka sekarang.. <U+2615><U+2615>

https://t.co/TWPx9b3YPd"
62,9/8/2019 7:57,alfath_10,"Saya melihat @PBDjarum tidak banyak melawan ketika dijegal @lenteraanak_ dan @KPAI_official krn mereka tidak perlu melawan dgn kata-kata. 

Mereka sudah meninggalkan jejak, mencatat sejarah, membuktikan diri dgn aksi saat pihak lain baru sebatas berbasa-basi. https://t.co/fuoKo8K2iC"
63,9/8/2019 7:57,polocorner,"Sudah 50 tahun PB Djarum berkontribusi untuk negeri di bidang bulutangkis, tak sedikit atlet-atlet jebolan dari Audisi PB Djarum mengharumkan nama Indonesia di kancah Internasional. Kini PB Djarum dituduh mengeksploitasi anak oleh KPAI. 
#PBDjarumJanganPamit https://t.co/a10vlVRMd0"
64,9/8/2019 7:57,Wa_Gu_Wa,"Sudah 50 tahun PB Djarum berkontribusi untuk negeri di bidang bulutangkis, tak sedikit atlet-atlet jebolan dari Audisi PB Djarum mengharumkan nama Indonesia di kancah Internasional. Kini PB Djarum dituduh mengeksploitasi anak oleh KPAI. 
#PBDjarumJanganPamit https://t.co/a10vlVRMd0"
65,9/8/2019 7:57,Wa_Gu_Wa,Shame on you @KPAI_official cc: @BadmintonTalk https://t.co/FjuYboWwYI
66,9/8/2019 7:53,Wa_Gu_Wa,@arbismash https://t.co/CqOr9hPpIU
67,9/8/2019 7:49,uuchupz,@KhalidFaruq24 @lenteraanak_ @KPAI_official Ketoke PB VapePod oleh tender gus <U+0001F923>
68,9/8/2019 7:57,uuchupz,@KhalidFaruq24 @lenteraanak_ @KPAI_official Ojok lali jaluk support coli gus <U+0001F923>
69,9/8/2019 7:57,tikosnainggolan,@VIVAcoid KPAI ngacooooo
70,9/8/2019 7:57,tikosnainggolan,@kompascom KPAI kaga dukung kaga dpt nasi bungkus sih
71,9/8/2019 7:57,RizalSaenong,"Lembaga @KPAI_official &amp; NGO Yayasan @lenteraanak_  lagi viral krn BERHASIL menutup @PBDjarum yg sdh melahirkan PULUHAN pebulutangkis dunia.

Ini salah dua<U+0001F600> “LIKE” akun Komisioner @KPAI_official sodari @SHikmawatty 

Beda pilihan politik sih biasa, cuma jejak digital saja.<U+0001F600> https://t.co/6NCh3ariyv"
72,9/8/2019 7:57,kulofata,"[TERBARU]

Saya serahkan sepenuhnya tanggung jawab pembibitan calon atlet level elite dunia kepada kalian. Kepada KPAI yang sangat bertanggung jawab kepada masa depan anak-anak Indonesia. BRAVO KPAI!

https://t.co/vRwYyeZCYE"
73,9/8/2019 7:51,kulofata,"Selamat, hari ini kemenangan kalian @KPAI_official dan @lenteraanak_ <U+0001F44D>. Dan kekalahan begitu banyak bakat bulu tangkis masa depan. Ada banyak anak di luar sana yg perlu kalian lindungi dari eksploitasi. Kalian memilih jalan ini. Sungguh bangga negeri ini <U+0001F64F> https://t.co/POZM5Ab0MI"
74,9/8/2019 7:57,astridwulan,KPAI.... Why...........
75,9/8/2019 7:57,dimasockyy,"Sumpah sedih, PB Djarum punya niat baik untuk mencetak bibit atlet bulutangkis kelas dunia terpaksa pamit gara-gara direcoki sama KPAI dan sekutunya. #PBDjarumJanganPamit https://t.co/pdpiw4IorU"
76,9/8/2019 7:57,karolvslvangga,"Budi Hartono, pemilik Djarum, mulai membina Liem Swie King di usia 13 tahun.
King tak hanya legenda PB DJARUM tapi juga legenda besar bagi BANGSA INDONESIA
Polemik KPAI dgn PB Djarum, patut disayangkan krn akhirnya kita harus kehilangan ""King Muda"" lainnya di masa yg akan datang. https://t.co/636mShg9WS"
77,9/8/2019 7:57,Adhi_Faiz,Selamat atas kesuksesan @KPAI_official menghentikan salah satu kegiatan yang dianggap nya tidak memiliki nilai manfaat bagi Anak-anak Indonesia! Cc: @jokowi @Pak_JK @KHMaruf_Amin @kemenkopmk @UNICEF https://t.co/zRG5tE9yB2
78,9/8/2019 7:57,ang_santi1812,"Selamat ya, KPAI... atas prestasinya menghancurkan mimpi anak2 berprestasi calon juara dunia.

Mungkin KPAI yang mau ambil tanggung jawab utk pendanaan pelatihan mereka sekarang.. <U+2615><U+2615>

https://t.co/TWPx9b3YPd"
79,9/8/2019 7:55,Indonesia222,"Sementara @KPAI_official Cuek Bebek dengan Audisi Penyanyi dan Pemain Sinetron Anak. 
Kenapa rupanya ?
Apa karena kurang 'setoran' atau ada titipan ?
#DukungPBDjarumTenggelamkanKPAI https://t.co/zUed6pKcvj"
80,9/8/2019 7:57,Indonesia222,"Mari kita berikan apresiasi untuk @KPAI_official karena mereka telah sukses menguburkan cita-cita anak bangsa menjadi juara masa depan yang mungkin akan bisa di banggakan pada suatu hari nanti.

Sekarang kalian punya solusi apa @lenteraanak_ untuk mereka?
https://t.co/6V1WGR8qfP"
81,9/8/2019 7:57,bagasorlando,"Selamat ya, KPAI... atas prestasinya menghancurkan mimpi anak2 berprestasi calon juara dunia.

Mungkin KPAI yang mau ambil tanggung jawab utk pendanaan pelatihan mereka sekarang.. <U+2615><U+2615>

https://t.co/TWPx9b3YPd"
82,9/8/2019 7:57,athiyyahzh,"Saya melihat @PBDjarum tidak banyak melawan ketika dijegal @lenteraanak_ dan @KPAI_official krn mereka tidak perlu melawan dgn kata-kata. 

Mereka sudah meninggalkan jejak, mencatat sejarah, membuktikan diri dgn aksi saat pihak lain baru sebatas berbasa-basi. https://t.co/fuoKo8K2iC"
83,9/8/2019 7:57,bungaboo,I feel like I'm going insane but seriously did NOBODY realized how fucked up it is to be reliant on a CSR for half a century to foster Badminton atheltes in Indonesia? It feels like everyone on Twitter is either defending that or defending KPAI but forget the bigger picture.
84,9/8/2019 7:48,Karolina_bee11,50 Tahun eksploitasi anak versi @lenteraanak_ @KPAI_official https://t.co/IFKkVHQDol
85,9/8/2019 7:55,Karolina_bee11,"@Karolina_bee11 @shinichikudo991 @03_Nakula @B1G__K4Y_jr @Vivittts @P3nj3l4j4h @Gustriawan KPAI itu keblinger....sekolah dimana tuh org????
Ga bisa membedakan mana bakat anak dan yg mana ekploitasi anak....
Minta di tatar lagi kayaknya"
86,9/8/2019 7:57,Karolina_bee11,"@gelangbesi Permainan kotornya Yayasan Lentera Anak..dan KPAI lambat laun pasti akan terungkap siapa2 dibalik mereka!
https://t.co/hYOzxL7zC4"
87,9/8/2019 7:51,Karolina_bee11,"@WR_4AG226 @eko_kuntadhi Justru itu, apakah anak2 pegawai KPAI mungkin ada disana..?? bukankah HTI ada sejak thn 1980an, tidak menutup kemungkinan sudah masuk kesemua elemen masyarakat.. termasuk yayasan lentera maupun KPAI.. <U+0001F62B>?!
Curiga kan gpp.. 
karena kelihatan sentimen banget dengan Djarum.. !"
